record,created_at
94.2*2*84.3,2024-04-03 17:08:06
93.2*2*91.9,2024-04-03 23:10:57
98.4*2*86.6,2024-04-04 05:13:54
88.6*2*70.6,2024-04-04 11:17:07
2*2*76.4,2024-04-16 15:14:21
89.7*2*78.3,2024-04-30 15:28:14
89.7*2*78.4,2024-04-30 15:40:22
89.5*2*88.5,2024-04-30 21:43:22
90.7*2*92.9,2024-05-01 03:46:20
91.2*2*99.0,2024-05-01 09:49:20
91.7*2*91.2,2024-05-01 15:52:17
92.7*2*94.7,2024-05-01 21:55:13
84.0*2*83.6,2024-05-06 16:05:30
84.1*2*85.2,2024-05-06 16:21:09
84.2*2*2,2024-05-06 16:29:52
86.5*2*89.0,2024-05-06 22:33:48
87.2*2*82.9,2024-05-08 15:05:47
87.2*2*90.6,2024-05-08 21:09:21
89.1*2*98.2,2024-05-09 03:13:46
88.7*2*74.6,2024-05-09 09:17:21
89.2*2*79.5,2024-05-18 14:58:52
89.5*2*79.9,2024-05-18 15:10:23
88.8*2*88.0,2024-05-18 21:14:20
89.4*2*91.9,2024-05-19 03:18:26
91.4*2*74.4,2024-05-19 09:22:25
90.7*2*71.2,2024-05-19 09:36:07
90.1*2*70.2,2024-05-19 09:39:30
89.3*2*65.2,2024-05-19 09:46:10
89.5*2*64.2,2024-05-19 09:50:45
88.9*2*68.5,2024-05-19 10:03:58
87.8*2*68.5,2024-05-19 10:45:30
85.8*2*82.8,2024-05-19 16:49:27
87.2*2*90.6,2024-05-19 22:53:32
91.1*2*85.3,2024-05-20 04:57:35
85.3*2*66.8,2024-05-20 11:01:35
85.1*2*74.9,2024-05-20 17:05:36
85.1*2*83.4,2024-05-20 23:09:35
90.2*2*2,2024-05-21 05:13:41
87.0*2*74.1,2024-05-21 11:17:43
86.8*2*79.3,2024-05-21 17:21:42
87.7*2*88.5,2024-05-21 23:25:42
91.9*2*90.5,2024-05-22 05:29:42
85.2*2*70.5,2024-05-22 11:33:46
57.9*2*59.5,2024-05-30 14:01:51
83.0*2*76.4,2024-05-30 16:28:30
82.9*2*76.1,2024-05-30 16:33:59
83.5*2*76.6,2024-05-30 16:54:36
83.6*2*76.3,2024-05-30 17:00:24
83.6*2*76.7,2024-05-30 17:08:11
83.7*2*76.9,2024-05-30 17:16:01
83.6*2*76.6,2024-05-30 17:20:41
86.2*2*89.0,2024-05-30 23:24:44
90.9*2*85.5,2024-05-31 05:28:42
