record,created_at
27.3*2*23.9,2024-04-03 17:08:06
23.7*2*21.2,2024-04-03 23:10:57
25.3*2*22.2,2024-04-04 05:13:54
29.5*2*28.6,2024-04-04 11:17:07
2*2*26.7,2024-04-16 15:14:21
28.1*2*25.6,2024-04-30 15:28:14
27.9*2*25.1,2024-04-30 15:40:22
25.0*2*22.9,2024-04-30 21:43:22
24.3*2*22.5,2024-05-01 03:46:20
25.1*2*20.8,2024-05-01 09:49:20
25.1*2*23.2,2024-05-01 15:52:17
23.9*2*22.1,2024-05-01 21:55:13
27.6*2*24.8,2024-05-06 16:05:30
27.2*2*24.6,2024-05-06 16:21:09
27.2*2*2,2024-05-06 16:29:52
25.0*2*23.1,2024-05-06 22:33:48
27.4*2*24.8,2024-05-08 15:05:47
25.1*2*22.6,2024-05-08 21:09:21
23.2*2*21.3,2024-05-09 03:13:46
27.1*2*26.9,2024-05-09 09:17:21
28.0*2*25.4,2024-05-18 14:58:52
28.0*2*25.7,2024-05-18 15:10:23
24.6*2*22.3,2024-05-18 21:14:20
24.9*2*23.0,2024-05-19 03:18:26
27.9*2*26.6,2024-05-19 09:22:25
27.9*2*27.1,2024-05-19 09:36:07
28.0*2*27.2,2024-05-19 09:39:30
28.0*2*27.4,2024-05-19 09:46:10
28.0*2*27.6,2024-05-19 09:50:45
28.1*2*28.2,2024-05-19 10:03:58
28.7*2*28.8,2024-05-19 10:45:30
27.4*2*24.8,2024-05-19 16:49:27
24.8*2*21.8,2024-05-19 22:53:32
24.6*2*22.6,2024-05-20 04:57:35
29.4*2*28.6,2024-05-20 11:01:35
27.9*2*25.3,2024-05-20 17:05:36
25.4*2*23.0,2024-05-20 23:09:35
25.1*2*2,2024-05-21 05:13:41
27.8*2*26.9,2024-05-21 11:17:43
27.0*2*24.4,2024-05-21 17:21:42
25.6*2*23.2,2024-05-21 23:25:42
25.6*2*22.8,2024-05-22 05:29:42
28.8*2*27.6,2024-05-22 11:33:46
28.8*2*29.0,2024-05-30 14:01:51
27.2*2*24.9,2024-05-30 16:28:30
27.1*2*24.9,2024-05-30 16:33:59
27.1*2*25.3,2024-05-30 16:54:36
27.2*2*25.2,2024-05-30 17:00:24
27.2*2*25.2,2024-05-30 17:08:11
27.1*2*25.0,2024-05-30 17:16:01
27.1*2*24.9,2024-05-30 17:20:41
24.3*2*21.7,2024-05-30 23:24:44
26.1*2*24.8,2024-05-31 05:28:42
29.5*2*29.3,2024-05-31 11:32:43
27.4*2*24.6,2024-05-31 17:36:44
24.6*2*22.3,2024-05-31 23:40:49
27.1*2*25.4,2024-06-01 05:44:48
29.5*2*28.0,2024-06-01 11:48:49
26.9*2*23.9,2024-06-01 17:53:11
24.2*2*22.1,2024-06-01 23:56:55
25.5*2*23.8,2024-06-02 06:00:54
29.8*2*28.7,2024-06-02 12:04:57
30.0*2*28.7,2024-06-03 08:28:41
25.5*2*23.9,2024-06-05 08:30:32
28.7*2*25.8,2024-06-05 15:34:03
28.5*2*25.8,2024-06-05 15:40:34
28.4*2*25.8,2024-06-05 15:45:48
2*2*2,2024-06-05 16:57:37
25.0*2*25.5,2024-06-05 17:11:26
26.0*2*25.1,2024-06-05 17:32:25
28.5*2*25.8,2024-06-05 18:34:10
28.8*2*27.6,2024-06-07 11:18:38
26.5*2*23.0,2024-06-11 16:28:52
26.4*2*23.0,2024-06-11 16:36:58
23.9*2*21.4,2024-06-11 22:41:22
23.4*2*21.2,2024-06-12 04:45:43
25.8*2*24.8,2024-06-13 08:05:58
29.0*2*26.3,2024-06-14 07:51:39
28.2*2*26.8,2024-06-15 08:37:54
28.1*2*26.6,2024-06-18 10:11:59
29.4*2*29.3,2024-06-19 09:55:46
28.0*2*28.0,2024-06-20 15:00:27
26.4*2*23.4,2024-06-20 18:01:12
28.8*2*27.8,2024-06-21 11:16:03
28.8*2*27.4,2024-06-21 15:00:30
28.1*2*25.4,2024-06-21 21:00:26
24.6*2*22.6,2024-06-22 03:00:27
27.7*2*27.8,2024-06-22 08:52:44
27.4*2*25.7,2024-06-22 12:06:52
27.5*2*25.8,2024-06-22 15:00:27
27.2*2*24.5,2024-06-22 21:00:28
24.1*2*22.1,2024-06-23 03:00:27
23.3*2*21.2,2024-06-23 09:00:28
27.7*2*27.1,2024-06-23 15:00:35
27.3*2*24.9,2024-06-23 21:00:25
